community_name_ar,community_name_en,community_num,parking_area,park_spaces_count,load_timestamp
نايف,NAIF,118,AREA 118,2056,46:40.0
الشندغة,AL SHINDAGHA,311,AREA 311,713,46:40.0
الجافلية,AL JAFILIYA,323,AREA 323,945,46:40.0
الضغاية,AL DAGHAYA,113,AREA 113,485,46:40.0
الوصل,AL WASL,343,AREA 343,3019,46:40.0
الخليج التجاري,BUSINESS BAY,346,AREA 346,250,46:40.0
السوق الكبير,AL SOUQ AL KABEER,312,AREA 312,2643,46:40.0
البرشاء الأولى,AL BARSHA FIRST,373,AREA 373,3661,46:40.0
الممزر,AL MAMZAR,134,AREA 134,301,46:40.0
الراس,AL RAS,112,AREA 112,1441,46:40.0
القصيص الأولى,AL QUSAIS FIRST,232,AREA 232,2243,46:40.0
أم هرير الثانية,UMM HURAIR SECOND,315,AREA 315,2497,46:40.0
جميرا الأولى,JUMEIRA FIRST,332,AREA 332,694,46:40.0
النهدة الأولى,AL NAHDA FIRST,231,AREA 231,947,46:40.0
أم سقيم الثانية,UMM SUQEIM SECOND,362,AREA 362,192,46:40.0
بور سعيد,PORT SAEED,129,AREA 129,4717,46:40.0
الصفوح الثانية,AL SAFOUH SECOND,382,AREA 382,9906,46:40.0
منخول,MANKHOOL,317,AREA 317,2518,46:40.0
الصفا الثانية,AL SAFA SECOND,357,AREA 357,84,46:40.0
القوز الثالثة,AL QOUZ THIRD,358,AREA 358,660,46:40.0
أم سقيم الأولى,UMM SUQEIM FIRST,356,AREA 356,260,46:40.0
القصيص الصناعية الثالثة,AL QUSAIS IND. THIRD,246,AREA 246,139,46:40.0
البراحة,AL BARAHA,122,AREA 122,2914,46:40.0
ند حصه,NADD HESSA,626,AREA 626,2340,46:40.0
القوز الصناعية الثانية,AL QOUZ IND.SECOND,365,AREA 365,1,46:40.0
مطار دبي الدولي,DUBAI INT'L AIRPORT,221,AREA 221,737,46:40.0
الصفا الأولى,AL SAFA FIRST,353,AREA 353,267,46:40.0
أم هرير الأولى,UMM HURAIR FIRST,314,AREA 314,774,46:40.0
الثنيه الثالثة,AL THANYAH THIRD,388,AREA 388,150,46:40.0
الخيران,AL KHEERAN,412,AREA 412,69,46:40.0
