Timestamp,Parking_Spot_ID,Sensor_Reading_Proximity,Sensor_Reading_Pressure,Vehicle_Type_Weight,Vehicle_Type_Height,User_Type,Weather_Temperature,Weather_Precipitation,Nearby_Traffic_Level,Entry_Time,Exit_Time,Electric_Vehicle,Reserved_Status,Occupancy_Rate,Payment_Amount,Parking_Lot_Section,Payment_Status,Occupancy_Status,Vehicle_Type,Parking_Violation,Sensor_Reading_Ultrasonic,Parking_Duration,Environmental_Noise_Level,Dynamic_Pricing_Factor,Spot_Size,Proximity_To_Exit,User_Parking_History
13:20.0,5,6.450682186,4.16574218,1476.833686,3.913945418,Registered,16.70125679,0,Low,18,11,0,0,0.085754623,25.95010492,Zone C,Unpaid,Occupied,Car,0,90.72752291,4,53.28300882,1.2,Standard,7.902881234,2.669329673
52:36.8,35,0.337949677,1.744630399,1627.753098,6.255403609,Registered,24.91926172,0,Low,20,14,0,0,0.176561263,0.257701166,Zone A,Paid,Occupied,Motorcycle,1,108.9705056,5,56.71600215,1,Compact,1.821088594,4.904420734
31:53.5,23,1.893801907,3.634433119,1625.461727,5.945869644,Staff,20.62943265,0,Medium,18,10,0,0,0.528060406,12.31672722,Zone A,Unpaid,Vacant,Electric Vehicle,0,66.81660625,3,46.71648078,1.2,Standard,3.091724873,4.777077985
11:10.3,7,3.877117572,0.828096781,967.1964738,4.099409647,Registered,17.61724288,0,Low,20,9,0,0,0.194541316,4.009667748,Zone C,Paid,Vacant,Car,0,84.93496831,1,49.93265854,1.2,Standard,1.437846495,3.227170257
50:27.0,26,7.820486667,10.88685562,1819.182296,3.867215049,Registered,13.47705278,0,Low,10,1,0,0,0.031379666,1.987359206,Zone C,Overdue,Vacant,Motorcycle,1,70.06256154,1,57.06356762,0.8,Standard,5.274952005,5.879571026
29:43.8,2,1.919148035,6.971963479,1575.770654,5.350370216,Registered,15.53202493,0,Low,20,3,0,0,0.139459572,7.141576069,Zone A,Overdue,Occupied,Motorcycle,0,67.94012875,2,39.41358029,0.8,Standard,8.924171343,5.802786792
09:00.5,47,4.916045432,3.511623015,1915.359614,4.155675963,Registered,11.79309942,0,Low,5,16,0,0,0.246271411,7.033263816,Zone A,Unpaid,Vacant,Car,0,101.960792,3,32.05020098,1,Standard,3.34102389,4.411714861
48:17.3,14,10.85680829,6.055583842,1633.259498,5.102484642,Visitor,20.06111774,1,High,8,16,0,0,0.177797787,1.473533675,Zone C,Unpaid,Occupied,Car,0,111.3355494,5,38.91051047,1,Standard,18.70775765,4.974531688
27:34.1,34,4.783782545,1.93250622,1830.396887,4.517172409,Registered,14.01667204,0,Low,0,7,0,0,0.39945849,2.255164345,Zone A,Paid,Occupied,Car,0,89.06483704,2,43.6068017,0.8,Compact,39.7594044,9.105896879
06:50.8,16,1.326078215,6.762584409,1639.963593,3.218841586,Registered,18.67219744,0,Medium,11,22,0,0,0.394311397,5.24526833,Zone A,Unpaid,Occupied,Car,0,71.2569242,1,60.72406086,1.2,Standard,1.280093555,3.758782316
46:07.6,27,0.123517069,2.541510699,1903.867727,2.769531981,Registered,26.85050927,0,Medium,13,13,0,0,0.021722598,5.256202133,Zone B,Overdue,Vacant,Car,0,74.47788653,7,70.29252061,0.8,Compact,0.180214716,2.737288245
25:24.3,28,10.20490843,2.395965306,1656.675191,5.226684248,Visitor,25.99649786,0,Medium,5,23,0,1,0.254944949,3.820779418,Zone D,Paid,Occupied,Electric Vehicle,0,107.4325928,5,40.90557053,0.8,Standard,15.59585966,2.689246901
04:41.1,10,0.107494321,1.425396048,1470.625426,4.438442254,Registered,19.83861553,0,Low,0,3,1,0,0.115202968,1.608088061,Zone A,Paid,Vacant,Motorcycle,0,102.2138114,2,49.15807609,1,Standard,2.115147756,5.498304917
43:57.8,50,10.38528883,4.551046738,2181.730416,4.446910183,Visitor,19.56457637,0,Medium,21,5,1,0,0.104061662,0.043832716,Zone C,Paid,Occupied,Car,0,107.7614935,2,44.73142192,0.8,Standard,4.35635583,-0.089034365
23:14.6,40,3.763818602,3.396259571,1766.711137,5.695863839,Registered,29.39937275,0,Low,1,18,0,0,0.593563627,35.1442417,Zone B,Paid,Occupied,Car,0,131.1681045,2,54.81195099,0.8,Compact,5.01256914,3.979353075
02:31.4,48,13.98995921,8.470852068,1672.123326,6.173442277,Registered,22.6037806,0,Medium,23,23,0,0,0.156004809,28.73501007,Zone B,Paid,Vacant,Car,0,111.5069909,2,52.79895669,1.5,Standard,24.84099642,3.062660997
41:48.1,46,8.016862615,1.273896846,1117.108675,4.727455279,Registered,18.3609677,0,Low,10,3,0,0,0.113945985,6.609711832,Zone C,Paid,Occupied,Car,0,108.180588,1,41.23416012,1,Standard,10.75398474,4.885496865
21:04.9,31,30.91097205,4.566023729,1113.507715,4.659401293,Visitor,12.86990941,0,Low,2,2,0,1,0.322041648,53.08721962,Zone D,Paid,Occupied,Car,1,147.3743293,3,43.78856121,1.2,Oversized,0.414570819,4.893801401
00:21.6,48,2.159393084,7.435129186,1587.814645,5.500143033,Visitor,21.96936609,0,Low,9,19,0,0,0.48083391,11.19798124,Zone A,Overdue,Occupied,Electric Vehicle,0,94.50431128,2,48.56979449,1,Standard,0.149210073,5.689482576
39:38.4,5,7.287626296,3.860843043,1543.656359,3.64306443,Registered,24.14661886,0,Medium,5,5,0,0,0.094474674,0.713429926,Zone A,Paid,Vacant,Car,0,147.6735076,6,62.30252982,1,Oversized,2.226038189,6.231038047
18:55.1,10,2.570245013,2.502085407,1315.76323,5.223153055,Registered,16.84174238,0,Low,5,22,0,0,0.123484979,1.252437718,Zone D,Unpaid,Occupied,Car,0,128.4776738,6,43.46209318,1,Standard,3.829777656,7.283594199
58:11.9,3,3.268436521,3.787491413,1542.29481,5.551885972,Registered,21.45601378,1,Low,19,6,0,0,0.294240023,24.78258921,Zone B,Paid,Occupied,Car,0,94.04149182,2,34.48640779,0.8,Compact,6.626642115,4.292697434
37:28.6,17,4.937664538,8.023978292,1976.588078,5.680230208,Registered,18.18213353,0,Low,20,13,1,1,0.631519875,9.943933702,Zone B,Paid,Occupied,Car,0,116.0967768,5,63.0302263,1,Standard,18.19168153,3.667352437
16:45.4,20,10.34457032,8.021740996,1708.620742,3.063247297,Registered,19.079838,0,High,1,11,0,0,0.303513565,18.52679755,Zone B,Paid,Occupied,Car,0,95.69598278,1,54.97293182,0.8,Standard,3.780704265,6.705264453
56:02.2,14,20.70198518,3.037680721,1157.697447,4.23864473,Visitor,7.560889712,0,Medium,23,15,0,0,0.565697582,22.8542959,Zone C,Paid,Occupied,Car,0,71.27209182,3,38.3711329,1.5,Standard,4.724662097,1.682062084
35:18.9,43,7.310985552,7.928808245,1466.547352,4.121736747,Visitor,18.89109298,1,Low,9,19,0,0,0.642029922,5.941021862,Zone C,Paid,Vacant,Car,0,99.8392149,5,53.06342839,0.8,Standard,3.994898903,6.514727062
14:35.7,19,2.704420968,3.274636196,1258.510056,5.099886954,Registered,24.84684651,0,Medium,22,7,0,0,0.328384314,0.49742867,Zone D,Paid,Vacant,Car,0,70.65747341,2,58.11667363,0.8,Compact,0.090057665,5.286045817
53:52.4,15,2.735347879,6.008982849,1383.690025,5.48074458,Registered,16.84298722,0,Low,5,22,1,0,0.376770582,2.086002557,Zone B,Paid,Occupied,Car,0,104.659295,2,50.9374552,1,Compact,31.05581495,5.898078972
33:09.2,28,6.68908888,4.953648844,1375.9153,6.496710407,Visitor,20.26263184,0,Low,22,1,0,1,0.184526614,0.688913916,Zone A,Paid,Vacant,Car,0,116.0095968,0,63.6257686,1,Standard,1.496559942,5.729934761
12:25.9,8,1.3641456,2.420684624,1356.706325,4.50503452,Visitor,16.22024647,1,High,16,12,0,0,0.419572941,2.091664942,Zone B,Paid,Vacant,Car,0,95.6618701,3,55.55328147,0.8,Standard,3.392104516,5.272859942
51:42.7,41,0.585333348,1.473876248,1123.459388,4.502427502,Registered,21.80220838,0,Low,13,7,0,0,0.141586658,5.285364155,Zone B,Paid,Vacant,Motorcycle,1,104.619149,5,53.05495486,0.8,Standard,1.384615856,5.354327522
30:59.5,4,2.189596658,7.567135607,1461.703596,6.149672019,Registered,18.91738401,0,Low,4,20,1,0,0.126849172,1.25786389,Zone B,Paid,Occupied,Car,0,104.287833,2,52.03884072,1.2,Standard,6.744101329,2.778823175
10:16.2,50,1.693045532,9.006312222,1331.817709,5.296576939,Registered,15.3037923,0,Low,22,19,1,0,0.450916934,1.824014574,Zone B,Paid,Occupied,Car,1,116.8869917,4,51.35894364,0.8,Standard,26.90693429,3.697483631
49:33.0,40,1.757073449,4.488201122,621.165393,6.267651511,Registered,26.66275734,0,Low,16,15,0,0,0.167680215,5.90268951,Zone A,Paid,Vacant,Car,0,101.7895104,1,58.78068009,0.8,Standard,1.06139394,8.554611404
28:49.7,11,1.33030583,3.271250018,2115.891607,5.288728003,Registered,24.64466007,0,Low,1,3,0,0,0.311270313,4.157744933,Zone B,Paid,Occupied,Car,0,93.70547385,4,48.50417905,0.8,Standard,5.814214285,6.345715375
08:06.5,1,0.215023905,1.121779069,1826.630896,3.842883381,Registered,16.97546618,0,Low,8,15,0,0,0.390765774,6.304693723,Zone B,Paid,Occupied,Motorcycle,0,115.9788079,3,59.49533268,0.8,Standard,0.226289603,7.121206005
47:23.2,42,0.090178014,7.436422248,1387.109783,3.666871645,Registered,22.48894155,0,Low,11,19,0,0,0.173115824,5.606673893,Zone C,Paid,Vacant,Car,0,103.1711637,5,53.11937626,0.8,Standard,14.73588926,4.309256365
26:40.0,37,21.9998899,4.119585263,1505.645715,3.448487751,Registered,22.68706001,0,Low,18,5,1,1,0.099494056,10.3416822,Zone B,Paid,Occupied,Motorcycle,0,57.28886343,5,51.05562397,1.5,Standard,10.25063015,5.158718935
05:56.8,38,2.791098734,2.708535643,1148.503696,5.662051835,Registered,23.21150618,0,Low,21,3,0,0,0.036005997,27.676338,Zone A,Paid,Occupied,Car,0,92.99426921,0,46.91962092,0.8,Standard,12.02968854,6.053388203
45:13.5,40,2.425193637,6.127071818,2008.716863,6.188596823,Registered,11.52872052,0,Low,6,15,1,0,0.139147026,1.14137071,Zone B,Paid,Occupied,Car,0,89.65657446,1,47.01312202,0.8,Standard,6.392962454,7.411414946
24:30.3,4,5.691663243,0.925890168,2069.186608,6.849362141,Visitor,25.03303271,0,Low,8,22,0,0,0.651012607,1.04538797,Zone C,Paid,Vacant,Motorcycle,0,102.9491848,3,53.19019518,1.5,Compact,23.81985827,4.694725918
03:47.0,19,1.23112628,1.360162884,1547.008118,5.843105332,Visitor,17.15150519,0,Medium,20,22,1,0,0.141029221,19.16004589,Zone B,Paid,Occupied,Car,0,100.7998129,3,60.13103427,1,Standard,5.2688294,5.954134687
43:03.8,6,14.97478127,1.871766401,1807.059193,6.162838578,Registered,18.21086033,0,Low,15,20,0,0,0.044676581,7.060231303,Zone B,Overdue,Vacant,Car,0,60.99282014,6,55.04399197,0.8,Standard,7.217217214,6.421393668
22:20.5,45,7.716963909,4.844092706,1552.586034,4.419983667,Registered,33.18940876,0,Medium,19,12,1,1,0.558240771,14.54166533,Zone B,Unpaid,Vacant,Motorcycle,0,70.16556623,0,42.85527994,0.8,Compact,11.88392222,6.869819167
01:37.3,32,0.468318193,3.818843543,1098.982368,3.843584183,Staff,21.5093669,0,Medium,10,4,0,0,0.116204936,2.426091625,Zone A,Paid,Occupied,Electric Vehicle,0,80.94279006,4,34.01072634,1.2,Standard,7.3513786,4.59673792
40:54.1,17,2.70282387,5.255430084,1376.452989,5.850079332,Registered,18.06838762,0,Medium,11,14,0,0,0.386555142,17.6528838,Zone C,Overdue,Occupied,Car,0,101.2891017,5,57.39758184,0.8,Standard,2.099011797,7.563447079
20:10.8,4,10.5647148,7.097929479,1539.57839,5.417680752,Registered,8.973528136,0,Low,14,7,0,0,0.049907296,25.7500587,Zone A,Paid,Occupied,Car,1,121.4768366,1,76.82968275,1,Standard,3.813638187,2.155083861
59:27.6,16,14.47780802,5.388938092,1363.635684,5.107444374,Registered,26.94882067,0,Low,17,6,0,0,0.342330886,10.09182132,Zone B,Paid,Vacant,Car,0,67.92712538,5,47.24138798,1,Standard,0.968352571,2.741023714
38:44.3,17,3.149937216,11.0386541,1434.404017,5.387371481,Registered,13.27395165,0,Low,18,13,0,0,0.528105761,1.119141902,Zone A,Overdue,Occupied,Car,0,86.55770098,4,45.36386662,0.8,Standard,5.667145447,5.961321007
18:01.1,38,4.751970863,7.086742174,1472.580133,5.323185482,Registered,14.98280548,0,Medium,15,6,1,1,0.121313722,22.56606632,Zone A,Unpaid,Vacant,Car,0,99.03051645,2,58.20526208,1,Standard,9.400510177,5.908580107
57:17.8,33,0.913811946,3.032071491,1475.736451,6.28381686,Visitor,18.3432385,0,Low,14,21,0,0,0.10249935,15.72564796,Zone B,Paid,Occupied,Motorcycle,0,81.37202002,7,41.39116903,0.8,Compact,1.261642474,4.530105338
36:34.6,46,23.64722343,2.133370323,1515.677547,6.294985585,Registered,27.08205896,0,Medium,4,6,0,0,0.31506405,13.89811646,Zone B,Paid,Occupied,Car,0,101.7476063,2,64.96198355,0.8,Standard,9.958403485,4.115432208
15:51.4,25,1.317690825,3.104999011,1181.81848,5.544220352,Registered,23.86619993,0,Medium,10,22,0,0,0.210062604,0.374196525,Zone C,Paid,Occupied,Motorcycle,0,112.805499,2,54.12310194,1.2,Standard,22.33732202,4.142097881
55:08.1,7,14.30004666,5.521166488,1284.895155,5.845802873,Visitor,19.21081245,1,Low,14,17,1,0,0.390915606,16.04263947,Zone C,Paid,Vacant,Car,0,84.86377749,2,49.73388098,0.8,Compact,4.120724883,3.201902652
34:24.9,37,5.244065297,2.330605843,1114.62472,5.514062552,Registered,21.54146032,0,Low,17,9,0,0,0.494703788,1.484431775,Zone C,Paid,Occupied,Car,0,106.5516694,2,42.2588477,0.8,Standard,2.510712958,4.910119848
13:41.6,39,4.679111114,5.627966552,1793.344665,4.538830268,Registered,16.99807154,1,Medium,12,17,0,1,0.278464813,2.515252485,Zone B,Paid,Occupied,Electric Vehicle,0,97.70961593,5,58.82068997,1,Standard,22.34983118,1.887904062
52:58.4,29,3.594258763,5.188027205,868.3059174,5.756564675,Registered,20.69826845,0,Low,3,13,0,0,0.525281156,8.607019093,Zone B,Overdue,Vacant,Car,0,77.01796095,3,45.55802697,1,Standard,11.77477706,7.264026047
32:15.1,40,1.31117514,1.454438237,1846.077103,3.605504931,Registered,20.36668372,1,Low,16,9,0,1,0.442830952,3.078586208,Zone B,Paid,Occupied,Car,0,97.18236755,0,57.09214684,0.8,Standard,1.113728514,5.763750354
11:31.9,26,0.97112885,6.997052096,1915.904819,6.053891552,Registered,24.84384948,0,Medium,3,6,0,0,0.105122621,10.82782857,Zone B,Unpaid,Occupied,Car,0,109.1333195,0,53.99089345,1,Compact,5.244377702,7.587535847
50:48.6,27,1.245424493,4.3744413,1409.345824,3.80547706,Registered,24.83589061,0,Low,15,6,0,0,0.24248273,9.366731689,Zone B,Paid,Vacant,Motorcycle,1,128.2748601,1,62.91424119,0.8,Compact,11.21132781,5.322087682
30:05.4,22,1.031667318,10.6884921,719.0588737,5.285803287,Registered,22.46988691,0,High,22,6,0,0,0.097318584,1.144568712,Zone D,Paid,Vacant,Car,0,132.8848749,5,51.58977681,1,Standard,8.542174539,4.92565153
09:22.2,2,7.561203788,3.28344312,1391.606831,4.154846042,Registered,18.18826221,0,Medium,14,4,0,0,0.384199575,10.67156005,Zone A,Paid,Occupied,Car,0,88.64630544,5,81.16348033,1.2,Compact,9.637679466,5.250889039
48:38.9,6,2.154878205,2.610206176,1480.744752,5.553388983,Registered,23.70911147,1,Medium,13,0,0,1,0.338042743,25.76428823,Zone D,Paid,Occupied,Car,0,87.44107837,1,55.54971529,1.2,Standard,8.373297798,3.600937623
27:55.7,2,0.297915042,1.285778499,1196.820534,4.966074774,Registered,19.54015767,0,Low,11,13,0,0,0.24237833,1.756755765,Zone A,Paid,Vacant,Car,0,100.8078025,5,51.4627001,1,Standard,15.99791416,2.513098396
07:12.4,33,17.38542108,1.266555588,1345.434482,3.405244042,Registered,14.59042816,0,Low,2,17,0,0,0.182125074,9.08972627,Zone A,Paid,Occupied,Motorcycle,0,89.14606025,3,46.1095493,0.8,Standard,3.862905557,3.030984623
46:29.2,17,10.76160485,6.438315192,1959.05856,5.420699631,Registered,17.98356104,1,Low,9,12,0,0,0.171162763,4.183457667,Zone A,Paid,Vacant,Car,0,124.26065,5,58.76670535,0.8,Standard,12.32586115,4.147394964
25:45.9,26,13.13827277,9.988125413,1699.478149,4.422079223,Registered,20.42263492,0,Low,7,7,0,0,0.153002285,6.154672715,Zone B,Paid,Occupied,Car,0,102.0138148,5,46.33391905,0.8,Standard,47.19396834,3.233302791
05:02.7,47,26.40024885,3.070854322,1222.630766,5.881146721,Visitor,24.55107892,0,Low,5,7,0,0,0.283684418,3.382741097,Zone A,Paid,Occupied,Car,0,101.1048702,2,42.25796389,1,Standard,4.942288778,7.697436407
44:19.5,13,0.955168483,2.91616196,1020.720249,5.001325689,Registered,19.08235914,0,Low,21,9,0,0,0.11521874,4.371580191,Zone C,Paid,Occupied,Motorcycle,0,112.8661556,4,45.31315288,0.8,Standard,15.65652224,3.58926079
23:36.2,21,2.522909274,3.517498502,1401.894805,5.395420985,Registered,13.95400644,1,Low,13,16,0,0,0.199260327,0.293380046,Zone C,Paid,Occupied,Motorcycle,0,103.1967235,1,48.07846064,1.5,Oversized,2.825077983,5.787250218
02:53.0,39,7.099017377,7.323260457,1435.962966,4.042431045,Visitor,20.28370842,0,Low,16,5,0,0,0.125634099,39.92785109,Zone B,Paid,Vacant,Motorcycle,0,106.104893,2,72.49784023,1.2,Compact,3.311418655,6.168721663
42:09.7,12,5.953977012,1.466481313,1648.859756,4.410667769,Registered,20.5672802,0,Medium,20,14,0,0,0.643345941,9.802958542,Zone B,Paid,Occupied,Car,0,105.2638195,4,52.92473042,0.8,Standard,27.31275956,7.474877105
21:26.5,4,0.835564424,3.987456374,1339.404986,4.541361364,Registered,20.92918814,0,Low,18,14,0,0,0.139822613,6.945593582,Zone D,Overdue,Occupied,Car,0,97.1072401,5,43.38994604,1,Standard,0.262806881,6.363323685
