zone_id,zone_name,community_num,parking_area,total_capacity,load_timestamp
33,AL QUSAIS SECOND,233,AREA 233,1069,2025-11-04 07:46:40
34,OUD METHA,319,AREA 319,4164,2025-11-04 07:46:40
35,AL HUDAIBA,322,AREA 322,1515,2025-11-04 07:46:40
36,ABU HAIL,126,AREA 126,67,2025-11-04 07:46:40
37,AL NAHDA SECOND,241,AREA 241,5366,2025-11-04 07:46:40
38,AL HAMRIYA,313,AREA 313,1668,2025-11-04 07:46:40
39,RAS AL KHOR IND. FIRST,612,AREA 612,65,2025-11-04 07:46:40
40,AL KARAMA,318,AREA 318,10210,2025-11-04 07:46:40
41,AL KIFAF,324,AREA 324,325,2025-11-04 07:46:40
42,AL GARHOUD,214,AREA 214,4435,2025-11-04 07:46:40
43,AL CORNICHE,111,AREA 111,566,2025-11-04 07:46:40
44,JUMEIRA THIRD,352,AREA 352,402,2025-11-04 07:46:40
45,AL TWAR FIRST,226,AREA 226,1016,2025-11-04 07:46:40
46,AL TWAR SECOND,227,AREA 227,172,2025-11-04 07:46:40
47,AL QOUZ FIRST,354,AREA 354,486,2025-11-04 07:46:40
48,RIGGAT AL BUTEEN,125,AREA 125,2594,2025-11-04 07:46:40
49,UMM RAMOOL,215,AREA 215,769,2025-11-04 07:46:40
50,JUMEIRA SECOND,342,AREA 342,167,2025-11-04 07:46:40
51,AL RASHIDIYA,216,AREA 216,297,2025-11-04 07:46:40
52,ZAA'BEEL SECOND,337,AREA 337,532,2025-11-04 07:46:40
53,AL BARSHA SECOND,376,AREA 376,1132,2025-11-04 07:46:40
54,NAIF,118,AREA 118,2056,2025-11-04 07:46:40
55,AL SHINDAGHA,311,AREA 311,713,2025-11-04 07:46:40
56,AL JAFILIYA,323,AREA 323,945,2025-11-04 07:46:40
57,AL DAGHAYA,113,AREA 113,485,2025-11-04 07:46:40
58,AL WASL,343,AREA 343,3019,2025-11-04 07:46:40
59,BUSINESS BAY,346,AREA 346,250,2025-11-04 07:46:40
60,AL SOUQ AL KABEER,312,AREA 312,2643,2025-11-04 07:46:40
61,AL BARSHA FIRST,373,AREA 373,3661,2025-11-04 07:46:40
62,AL MAMZAR,134,AREA 134,301,2025-11-04 07:46:40
63,AL RAS,112,AREA 112,1441,2025-11-04 07:46:40
64,AL QUSAIS FIRST,232,AREA 232,2243,2025-11-04 07:46:40
65,UMM HURAIR SECOND,315,AREA 315,2497,2025-11-04 07:46:40
66,JUMEIRA FIRST,332,AREA 332,694,2025-11-04 07:46:40
67,AL NAHDA FIRST,231,AREA 231,947,2025-11-04 07:46:40
68,UMM SUQEIM SECOND,362,AREA 362,192,2025-11-04 07:46:40
69,PORT SAEED,129,AREA 129,4717,2025-11-04 07:46:40
70,AL SAFOUH SECOND,382,AREA 382,9906,2025-11-04 07:46:40
71,MANKHOOL,317,AREA 317,2518,2025-11-04 07:46:40
72,AL SAFA SECOND,357,AREA 357,84,2025-11-04 07:46:40
73,AL QOUZ THIRD,358,AREA 358,660,2025-11-04 07:46:40
74,UMM SUQEIM FIRST,356,AREA 356,260,2025-11-04 07:46:40
75,AL QUSAIS IND. THIRD,246,AREA 246,139,2025-11-04 07:46:40
76,AL BARAHA,122,AREA 122,2914,2025-11-04 07:46:40
77,NADD HESSA,626,AREA 626,2340,2025-11-04 07:46:40
78,AL QOUZ IND.SECOND,365,AREA 365,1,2025-11-04 07:46:40
79,DUBAI INT'L AIRPORT,221,AREA 221,737,2025-11-04 07:46:40
80,AL SAFA FIRST,353,AREA 353,267,2025-11-04 07:46:40
81,UMM HURAIR FIRST,314,AREA 314,774,2025-11-04 07:46:40
82,AL THANYAH THIRD,388,AREA 388,150,2025-11-04 07:46:40
83,AL KHEERAN,412,AREA 412,69,2025-11-04 07:46:40
